backbone_id,backbone,method_id,method,n,mechanism_correct_n,mechanism_correct_rate,grounded_closure_n,grounded_closure_rate,unsupported_or_premature_closure_n,unsupported_or_premature_closure_rate,safety_ceiling_n,safety_ceiling_rate,contract_valid_completion_n,contract_valid_completion_rate,contract_valid_metric_status,path_length_mean,path_length_median,read_only_inspections_mean,read_only_inspections_median,verification_actions_mean,verification_actions_median,llm_decision_steps_mean,llm_decision_steps_median,repeated_actions_total,repeated_actions_mean,repeated_actions_episode_n,repeated_actions_episode_rate,invalid_actions_total,invalid_actions_mean,invalid_actions_episode_n,invalid_actions_episode_rate,malformed_contract_events_total,malformed_contract_events_mean,malformed_contract_events_episode_n,malformed_contract_events_episode_rate,protocol_guard_violations_total,protocol_guard_violations_mean,protocol_guard_violations_episode_n,protocol_guard_violations_episode_rate,final_diagnosis_n,final_diagnosis_rate
qwen25_7b,Qwen2.5-7B-Instruct,GENERIC_REACT,Generic ReAct,60,0,0.0,0,0.0,0,0.0,60,1.0,0,0.0,FROZEN_UNIFIED_FIELD_NATIVE_RULE_VERIFIED,5.833333333333333,6.0,3.9,4.0,1.9333333333333333,2.0,24.0,24.0,836,13.933333333333334,50,0.8333333333333334,254,4.233333333333333,17,0.2833333333333333,254,4.233333333333333,17,0.2833333333333333,0,0.0,0,0.0,0,0.0
qwen25_7b,Qwen2.5-7B-Instruct,PROPOSED,CausalProbe,60,60,1.0,60,1.0,0,0.0,0,0.0,60,1.0,FROZEN_UNIFIED_FIELD_NATIVE_RULE_VERIFIED,3.8833333333333333,4.0,2.8833333333333333,3.0,1.0,1.0,3.8833333333333333,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,60,1.0
llama31_8b,Meta-Llama-3.1-8B-Instruct,GENERIC_REACT,Generic ReAct,60,0,0.0,0,0.0,0,0.0,60,1.0,0,0.0,FROZEN_UNIFIED_FIELD_NATIVE_RULE_VERIFIED,4.733333333333333,5.0,3.5166666666666666,4.0,1.2166666666666666,1.0,24.0,24.0,1141,19.016666666666666,60,1.0,15,0.25,2,0.03333333333333333,15,0.25,2,0.03333333333333333,0,0.0,0,0.0,0,0.0
llama31_8b,Meta-Llama-3.1-8B-Instruct,PROPOSED,CausalProbe,60,41,0.6833333333333333,41,0.6833333333333333,0,0.0,19,0.31666666666666665,12,0.2,FROZEN_UNIFIED_FIELD_NATIVE_RULE_VERIFIED,1.7833333333333334,2.0,0.85,1.0,0.9333333333333333,1.0,10.633333333333333,5.0,14,0.23333333333333334,13,0.21666666666666667,0,0.0,0,0.0,0,0.0,0,0.0,517,8.616666666666667,39,0.65,41,0.6833333333333333
qwen25_32b_frozen,Qwen2.5-32B-Instruct,GENERIC_REACT,Generic ReAct,120,111,0.925,82,0.6833333333333333,38,0.31666666666666665,0,0.0,106,0.8833333333333333,ANALYSIS_RECONSTRUCTED_FROM_NATIVE_FIELDS_SAME_RULE,6.508333333333334,7.0,4.591666666666667,5.0,1.9166666666666667,2.0,7.875,8.0,7,0.058333333333333334,6,0.05,37,0.30833333333333335,10,0.08333333333333333,37,0.30833333333333335,10,0.08333333333333333,0,0.0,0,0.0,120,1.0
qwen25_32b_frozen,Qwen2.5-32B-Instruct,PROPOSED,CausalProbe,120,120,1.0,120,1.0,0,0.0,0,0.0,120,1.0,ANALYSIS_RECONSTRUCTED_FROM_NATIVE_FIELDS_SAME_RULE,2.566666666666667,2.0,1.3416666666666666,1.0,1.225,1.0,2.566666666666667,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,120,1.0
deepseek_v4_pro,DeepSeek-V4-Pro served through SiliconFlow,GENERIC_REACT,Generic ReAct,60,60,1.0,21,0.35,39,0.65,0,0.0,60,1.0,FROZEN_UNIFIED_FIELD_NATIVE_RULE_VERIFIED,4.683333333333334,5.0,4.033333333333333,4.0,0.65,0.0,5.683333333333334,6.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,60,1.0
deepseek_v4_pro,DeepSeek-V4-Pro served through SiliconFlow,PROPOSED,CausalProbe,60,60,1.0,60,1.0,0,0.0,0,0.0,60,1.0,FROZEN_UNIFIED_FIELD_NATIVE_RULE_VERIFIED,3.9833333333333334,4.0,2.9833333333333334,3.0,1.0,1.0,3.9833333333333334,4.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,60,1.0
